uf,ano,n,ncol,cols_faltando,hs_causabas,hs_linhas,hs_qualquer
AC,2020,4860,97,,0,0,0
AC,2021,5496,97,,0,0,0
AC,2022,4159,97,,0,0,0
AC,2023,4189,97,,0,0,0
AC,2024,4267,97,,0,0,0
AL,2020,24148,97,,0,0,0
AL,2021,25090,97,,0,1,1
AL,2022,23122,97,,0,0,0
AL,2023,21965,97,,0,0,0
AL,2024,22653,97,,0,0,0
AP,2020,4617,97,,0,0,0
AP,2021,4750,97,,0,0,0
AP,2022,3846,97,,0,0,0
AP,2023,3926,97,,0,0,0
AP,2024,3903,97,,0,0,0
AM,2020,24765,97,,0,0,0
AM,2021,29080,97,,0,1,1
AM,2022,20155,97,,0,0,0
AM,2023,20385,97,,0,0,0
AM,2024,20225,97,,0,2,2
BA,2020,107194,97,,0,0,0
BA,2021,115392,97,,0,0,0
BA,2022,107641,97,,0,1,1
BA,2023,103081,97,,1,3,3
BA,2024,106212,97,,0,0,0
CE,2020,69512,97,,0,1,1
CE,2021,73683,97,,0,1,1
CE,2022,64664,97,,0,0,0
CE,2023,60635,97,,0,2,2
CE,2024,63496,97,,0,0,0
DF,2020,16218,97,,0,1,1
DF,2021,19079,97,,0,0,0
DF,2022,14457,97,,0,0,0
DF,2023,14079,97,,0,0,0
DF,2024,15878,97,,0,0,0
ES,2020,29111,97,,0,0,0
ES,2021,32801,97,,0,0,0
ES,2022,27992,97,,0,0,0
ES,2023,27315,97,,0,1,1
ES,2024,28142,97,,0,0,0
GO,2020,48358,97,,0,0,0
GO,2021,60712,97,,0,0,0
GO,2022,47270,97,,0,0,0
GO,2023,45041,97,,0,2,2
GO,2024,47830,97,,0,0,0
MA,2020,43271,97,,0,0,0
MA,2021,44654,97,,0,0,0
MA,2022,39936,97,,0,0,0
MA,2023,38747,97,,0,1,1
MA,2024,40143,97,,0,0,0
MT,2020,23397,97,,0,0,0
MT,2021,28623,97,,0,1,1
MT,2022,21731,97,,0,0,0
MT,2023,21790,97,,0,0,0
MT,2024,22803,97,,0,0,0
MS,2020,19051,97,,0,0,0
MS,2021,25049,97,,0,0,0
MS,2022,20434,97,,0,0,0
MS,2023,19638,97,,0,0,0
MS,2024,19841,97,,0,0,0
MG,2020,152128,97,,0,0,0
MG,2021,190085,97,,0,2,2
MG,2022,162615,97,,0,0,0
MG,2023,157603,97,,0,1,1
MG,2024,163668,97,,0,2,2
PA,2020,51643,97,,0,0,0
PA,2021,52166,97,,0,0,0
PA,2022,45499,97,,0,0,0
PA,2023,43780,97,,0,0,0
PA,2024,45375,97,,0,0,0
PB,2020,31107,97,,0,1,1
PB,2021,34678,97,,0,0,0
PB,2022,32405,97,,0,0,0
PB,2023,28773,97,,0,0,0
PB,2024,30153,97,,0,0,0
PR,2020,82573,97,,0,1,1
PR,2021,112606,97,,0,0,0
PR,2022,89808,97,,0,2,2
PR,2023,83465,97,,0,0,0
PR,2024,89122,97,,0,1,1
PE,2020,76574,97,,0,1,1
PE,2021,80717,97,,0,0,0
PE,2022,72011,97,,0,0,0
PE,2023,68527,97,,0,0,0
PE,2024,70793,97,,0,0,0
PI,2020,23646,97,,0,0,0
PI,2021,26212,97,,0,0,0
PI,2022,24343,97,,0,0,0
PI,2023,22529,97,,0,1,1
PI,2024,23476,97,,0,0,0
RJ,2020,172185,97,,0,0,0
RJ,2021,189232,97,,0,0,0
RJ,2022,150806,97,,0,3,3
RJ,2023,145148,97,,0,6,6
RJ,2024,148156,97,,0,2,2
RN,2020,24674,97,,0,0,0
RN,2021,26771,97,,0,1,1
RN,2022,24219,97,,0,0,0
RN,2023,22302,97,,0,0,0
RN,2024,23527,97,,0,0,0
RS,2020,92791,97,,0,0,0
RS,2021,117722,97,,0,0,0
RS,2022,104096,97,,0,0,0
RS,2023,93516,97,,0,1,1
RS,2024,101480,97,,0,1,1
RO,2020,10278,97,,0,0,0
RO,2021,14042,97,,0,0,0
RO,2022,10277,97,,0,0,0
RO,2023,9974,97,,0,0,0
RO,2024,10097,97,,0,0,0
RR,2020,3580,97,,0,0,0
RR,2021,4306,97,,0,0,0
RR,2022,3246,97,,0,0,0
RR,2023,3311,97,,0,0,0
RR,2024,3055,97,,0,0,0
SC,2020,46444,97,,0,0,0
SC,2021,59898,97,,0,0,0
SC,2022,51317,97,,0,1,1
SC,2023,48589,97,,0,0,0
SC,2024,52224,97,,0,2,2
SP,2020,349635,97,,0,3,3
SP,2021,431616,97,,0,1,1
SP,2022,354056,97,,0,2,2
SP,2023,334303,97,,0,5,5
SP,2024,351616,97,,0,6,6
SE,2020,15793,97,,0,0,0
SE,2021,16675,97,,0,0,0
SE,2022,14791,97,,0,0,0
SE,2023,14087,97,,0,0,0
SE,2024,14453,97,,0,0,0
TO,2020,9271,97,,0,0,0
TO,2021,11514,97,,0,0,0
TO,2022,9370,97,,0,0,0
TO,2023,8912,97,,0,1,1
TO,2024,9427,97,,0,0,0
